vote_2020,Gender,Household_Income,Education,State,Age,Race,cell
Donald Trump,Female,"$50,000 to $54,999","Completed some college, but no degree",CO,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$175,000 to $199,999",Associate Degree,DE,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$15,000 to $19,999","Completed some college, but no degree",IL,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$200,000 to $249,999",Masters degree,FL,31 to 40,White,Male 31 to 40
Joe Biden,Female,"Less than $14,999",High school graduate,CA,21 to 30,"Black, or African American",Female 21 to 30
Donald Trump,Female,"$25,000 to $29,999",Completed some high school,KY,71 to 80,White,Female 71 to 80
Donald Trump,Female,"Less than $14,999","Completed some college, but no degree",TX,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$30,000 to $34,999",High school graduate,CT,71 to 80,White,Male 71 to 80
Joe Biden,Male,"$125,000 to $149,999",Masters degree,FL,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$100,000 to $124,999",Masters degree,VA,41 to 50,White,Female 41 to 50
Donald Trump,Male,"$65,000 to $69,999",Masters degree,NY,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$70,000 to $74,999","Completed some college, but no degree",DE,51 to 60,White,Male 51 to 60
Donald Trump,Female,"$200,000 to $249,999",Associate Degree,NY,41 to 50,White,Female 41 to 50
Donald Trump,Male,"$55,000 to $59,999",Associate Degree,OH,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$45,000 to $49,999",High school graduate,FL,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$125,000 to $149,999",Associate Degree,MI,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$100,000 to $124,999",Doctorate degree,OH,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$60,000 to $64,999","Completed some college, but no degree",FL,61 to 70,White,Male 61 to 70
Donald Trump,Male,"Less than $14,999",High school graduate,IL,51 to 60,White,Male 51 to 60
